,Recipe,Location,Item,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4
0,Powdering Powder,Cafeteria (Chapter 1),Flour,Carrotato/Belgrade Potato/Pumpotatokin,Spinacherb/Dunkelhite/Purplinacherb/Gash Twig/Kittynip/Tercia Pollen/Taun/Huffin,,
1,Powdering Powder,Cafeteria (Chapter 1),Salt,Masou/Endless Seaweed/Strom Shell/Joker Fish,Clearwater/Brown Groundwater/Marine Water,,
2,Powdering Powder,Cafeteria (Chapter 1),Black Powder,Carbon Boulder/Raw Komet Ore/Super Komet/Black Steel/Black Liquid/Spinacherb/Purplinacherb/Gash Twig/Kittynip/Eicheloa/Poison Shroom/Taun/Huffin,Canone Rock/Flame/Tera Flame/Plosion,,
3,Powdering Powder,Cafeteria (Chapter 1),Polish Powder,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver,Canone Rock/Glacier Stone/Thunder Stone/Raw Komet Ore/Super Komet/Carbon Boulder,,
4,Miraculous Powder,Student Store (Chapter 9),Shiny Powder,Raw Komet Ore/Super Komet/Gravity Stone/Pendelook,Elemia Silver/White Steel/Altena Ingot/Gold Bullion,,
5,How to Knead Dirt,Campus Grounds (Chapter 6),Magical Clay,Dirt/Red Dirt/Black Dirt,Carrotato/Belgrade Potato/Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion/Pumpotatokin,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
6,How to Knead Dirt,Campus Grounds (Chapter 6),Blood Clay,Dunkelhite,Dirt/Red Dirt/Black Dirt,Carrotato/Belgrade Potato/Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion/Pumpotatokin,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid
7,Alchemic Steel,Student Store (Chapter 4),Black Steel,Legien Steel,Beast Fang/Strom Shell/Monster Cookie/Puni Gummi,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
8,Alchemic Steel,Student Store (Chapter 4),Red Steel,Cyprus Copper,Monster Bone/King Crab/Trout,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
9,Alchemic Steel,Student Store (Chapter 4),Blue Steel,Preuve Lead,Dragon Bone/Chinook/Scale Chips/99% Chaos Choco,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
10,Alchemic Steel,Student Store (Chapter 4),White Steel,Elemia Silver,Black Stee/Red Steel/Blue Steel,Liquid Metal,
11,Holy Metal,Dragon's Grave - Cave of Origin,Altena Ingot,White Steel/Gold Bullion/Blood Clay,Brilliant Stone/Pentagle/Aroma Material,Liquid Metal,
12,Ingot,Resource Center Dungeon/Vendor (Chapter 11),Gold Bullion,Altena Ingot,Jade Tablet,Blood Clay,Dragon Tongue
13,God's Drink,Infirmary (Chapter 4),Nectar,Bitter Grape/Night-in-grape/Muscat/Tangerine/Sunrise Orange/Mandarin Orange,Carrotato/Belgrade Potato/Burdock Straight/Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion/Pumpotatokin,Salt,
14,God's Drink,Infirmary (Chapter 4),Black Liquid,Masou/Chinook/Trout/Bonita/Endless Seaweed/Joker Fish,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Preservative,Carbon Boulder,
15,Generic Cloth,Automatically obtain,Nicro Cloth,Spinacherb/Purplinacherb/Gash Twig/Eicheloa/Poison Shroom,Tuft/Knot/Shiny Moustache/Meringue Whip,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
16,Funfur Cloth,"The Height, or Campus Grounds (Chapter 3)",Pleather Cloth,Red Petal/Blue Petal/Glowing Petal,Tuft/Knot/Shiny Moustache/Meringue Whip/Nicro Cloth,Masou/Trout/Chinook/Bonita/Endless Seaweed/Joker Fish,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative
17,Noble Fabric,Student Store (Chapter 5),Silky Cloth,Red Petal/Blue Petal/Glowing Petal/Shiny Powder,Knot/Shiny Moustache/Meringue Whip/Silver Thread,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
18,Legendary Fabric,"Complete Job no. 048, or Student Store (Chapter 9)",Formell Fabric,Rainbow Feather/Crimson Feather/White Feather/Black Feather,Shiny Moustache/Meringue Whip/Silver Thread/Silky Cloth,Canone Crystal/Glacier Crystal/Thunder Crystal/Gravity Stone/Pendelook/Chrome Crystal,Heal Jar/X-Heal/Heal All/Cure Jar/Shining Grail
19,Preserved Food,Complete Job no. 042,Goat Cheese,Goat Milk,Lando/X-Lando/Sweet Lando/Yubana Fruit/Dried Yubana/Yubana Flower,Clearwater/Brown Groundwater/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
20,Preserved Food,Complete Job no. 042,Bacon,Wild Meat/Rotten Meat/Golden Meat,Preservative,Salt,
21,Preserved Food,Complete Job no. 042,Smoked Fish,Masou/Bonita/Joker Fish/Chinook/Trout,Woodchip/Giant Woodchip/Wooden Club,Salt,Flame/Tera Flame/Plosion
22,Liquid Metal,Student Store (Chapter 9),Liquid Metal,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,Canone Rock/Glacier Stone/Thunder Stone/Raw Komet Ore/Super Komet/Canone Crystal/Glacier Crystal/Thunder Crystal,Pendelook,
23,Curing Medicine,Automatically obtain,Cure Jar,Belgrade Potato/Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion,Spinacherb/Purplinacherb/Gash Twig/Eicheloa/Poison Shroom/Taun/Huffin,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid,
24,Curing Medicine,Automatically obtain,Preservative,Bitter Grape/Night-in-grape/Muscat/Tangerine/Sunrise Orange/Mandarin Orange/Nectar,Spinacherb/Purplinacherb/Gash Twig/Eicheloa/Poison Shroom/Taun/Huffin,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid,Red Petal/Blue Petal/Glowing Petal
25,Strong Fiber,Automatically obtain,Dietary Fiber,Spinacherb/Purplinacherb/Gash Twig/Huffin/Belgrade Potato,Burdock Straight/Burdock Curve,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
26,Strong Fiber,Automatically obtain,Silver Thread,Glowing Petal/Shiny Powder,Elemia Silver/White Steel/Altena Ingot,Nicro Cloth/Pleather Cloth/Silky Cloth/Formell Fabric,
27,Magical String,"Mana Ruins - Bottom Center, or Student Store (Chapter 10)",Clear Fiber,Chrome Crystal/Gravity Stone/Soul of Darkness,Plosion/Black Powder,Silver Thread,Nectar/Super Nectar/Shining Grail/Elixir
28,Explosive Powder,"Complete Job no. 044, or Campus Grounds (Chapter 5)",Plosion,Canone Crystal/Glacier Crystal/Thunder Crystal/Raw Komet Ore/Super Komet/Uni/Big Uni,Carbon Boulder,Black Liquid/Black Powder,Tuft/Knot/Shiny Moustache/Nicro Cloth/Dietary Fiber
29,Mechanical Box,"Mana Ruins - Outskirts, or Student Store (Chapter 5)",Gearbox,Eternal Turnkey,Black Steel/Red Steel/Blue Steel/White Steel,Gear/Little Gear/Grand Gear/Le Merou Cog,
30,Mechanical Box,"Mana Ruins - Outskirts, or Student Store (Chapter 5)",Le Merou Cog,Gear,Grand Gear,Little Gear,Black Liquid
31,Spring Decor,"The Heights, or Student Store (Chapter 3)",Eternal Turnkey,Gear/Grand Gear/Little Gear/Le Merou Cog,Legien Steel/Black Steel/Red Steel/Blue Steel/White Steel,Polish Powder/Shiny Powder,
32,Normal Paper,Student Store (Chapter 1),Zettel,Spinacherb/Purplinacherb/Gash Twig/Kitty Nip/Taun/Huffin/Dunkelhite,Carrotato/Belgrade Potato/Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion/Pumpotatokin,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
33,Expensive Paper,Student Store (Chapter 6),Holy Crest Paper,Zettel,Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion/Pumpotatokin,X-Heal/Heal All/Shining Grail/Elixir,
34,Vibrating Metal,Student Store (Chapter 5),Apollo's Diapason,Black Steel/Red Steel/Blue Steel,Chrome Crystal/Pendelook/Soul of Darkness,Lightning Rod/Thunder Rod,
35,Mystery Ring,"Mana Ruins - Bottom Center, or Student Store (Chapter 10)",Fortune Ring,White Steel/Altena Ingot,Apollo's Diapason/Alchemic Cymbal,Gravity Stone,
36,Thermometer,"Mana Ruins - Outskirts, or Student Store (Chapter 5)",Galilean Scope,Black Liquid,Preservative,Heal Jar/X-Heal/Heal All/Cure Jar,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative
37,Shiny Stone,"Wind's Corridor - Abyss, or Student Store (Chapter 8)",Brilliant Stone,Canone Crystal/Glacier Crystal/Thunder Crystal,Chrome Crystal,Heal All/Super Nectar/Shining Grail/Elixir,Polish Powder/Shiny Powder
38,Shiny Stone,"Wind's Corridor - Abyss, or Student Store (Chapter 8)",Pentagle,Pendelook,Chrome Crystal,Heal All/Super Nectar/Shining Grail/Elixir,Polish Powder/Shiny Powder 
39,Spirit Crystal,Infirmary (Chapter 7),Canone Crystal,Canone Crystal,Preservative/X-Heal,Monster Bone/Dragon Bone,
40,Spirit Crystal,Infirmary (Chapter 7),Glacier Crystal,Glacier Stone,Preservative/X-Heal,Trout/Chinook/Sharkgill,
41,Spirit Crystal,Infirmary (Chapter 7),Thunder Crystal,Thunder Stone,Preservative/X-Heal,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver,
42,Igniter Device,Student Store (Chapter 10),Auto Igniter,Canone Crystal/Flame Ring,Gearbox,Plosion,Blue Steel/White Steel
43,Cooler,Student Store (Chapter 10),Coolster,Glacier Crystal/Ice Ring,Le Merou Cog,Galilean Scope,Blue Steel/White Steel
44,Vacuum Pipe,"Complete Job no. 049, or Student Store (Chapter 10)",Voidspark Pipe,Thunder Crystal/Thunder Ring,Apollo's Diapason,Formell Fabric,Blue Steel/White Steel
45,Rhythmical Machine,"Millenium Tree, or Campus Grounds (Chapter 6)",Metronome,Eternal Turnkey,Gearbox,Apollo's Diapason,Le Merou Cog
46,Musical Strings,Complete Job no. 057,Carabine Harp,Dragon Bone,Dragon Scale,Silver Thread/Clear Fiber,Giant Woodchip/Wood Tympani/Wooden Club
47,Swinging Drum,Resource Center Dungeon,Wood Tympani,Woodchip/Giant Woodchip/Wooden Club,Pleather Cloth/Silky Cloth/Formell Fabric,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver,Worn Weapon/Worn Armor
48,Giant Music Device,"Dragon's Grave - Cave of Origin, or Campus Grounds (Chapter 11)",Organne la Firste,Blood Clay,Wood Tympani,Velvet Horn,Metronome
49,Vortex Trumpet,Campus Grounds (Chapter 9),Velvet Horn,Strom Shell/Long Ice Cream/Burdock Curve,Blue Steel/White Steel,Monster Bone,Alchemic Cymbal/Apollo's Diapason/Fortune Ring
50,Echoing Cymbal,Resource Center Dungeon/Vendor,Alchemic Cymbal,Black Steel/Red Steel/Blue Steel/White Steel,Apollo's Diapason,Polish Powder/Shiny Powder,Crack Hammer/Sledgehammer/Vorey Splitter
51,Healing Medicine,Automatically obtain,Heal Jar,Spinacherb/Purplinacherb/Gash Twig/Huffin,Blue Petal/Glowing Petal/Red Petal,Clearwater/Brown Groundwater/Goat Milk/Marine Water/Vanilla Syrup/Black Liquid/Preservative,
52,Healing Medicine,Automatically obtain,X-Heal,Taun/Purplinacherb/Tercia Pollen,Lando/X-Lando/Sweet Lando,Bitter Grape/Night-in-grape/Muscat/Tangerine/Sunrise Orange/Mandarin Orange,Black Liquid/Preservative
53,Spreading Medicine,Infirmary (Chapter 8),Heal All,Heal Jar/X-Heal,Apollo's Diapason/Alchemic Cymbal,Tercia Pollen/Kittynip/Dunkelhite,Yubana Fruit/Dried Yubana/Yubana Flower
54,Super Juice,Infirmary (Chapter 8),Super Nectar,Brilliant Stone/Pentagle,X-Lando/Sweet Lando/Mandarin Orange,Radish/Medicinal Radish/Shinke Onion,Preservative/X-Heal/Heal All
55,A Holy Cup,Infirmary (Chapter 10),Shining Grail,Nectar,Super Nectar,Liquid Metal/Velvet Horn,
56,Mental Stabilizer,Resource Center Dungeon,Amber Soup,ATK Fruit/MGK Fruit/DEF Fruit/RES Fruit/SPD Fruit,Carrotato/Belgrade Potato/Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion/Pumpotatokin,Clearwater/Brown Groundwater/Marine Water,
57,Mental Stabilizer,Resource Center Dungeon,Tranquilizer,Youthful Apple/Eternal Peach,Carrotato/Belgrade Potato/Burdock Straight/Burdock Curve/Radish/Medicinal Radish/Shinke Onion/Pumpotatokin,Fortune Ring,
58,Ultimate Remedy,Automatically obtain,Elixir,Super Nectar,X-Heal,Dunkelhite,Shinke Onion
59,Flaming BBQ,Cafeteria (Chapter 3),Steak,Wild Meat/Rotten Meat/Golden Meat,Carrotato/Belgrade Potato/Pumpotatokin,Salt,
60,Flaming BBQ,Cafeteria (Chapter 3),Broiled Fish,Masou/Trout/Chinook,Radish/Medicinal Radish,Salt,
61,Flaming BBQ,Cafeteria (Chapter 3),Ceramic Plate,Magical Clay/Blood Clay,Liquid Metal/Preservative,Plosion/Tera Flame,
62,Gorgeous Boat,Student Store (Chapter 11),Fish Boat: Marlow,King Tuna/Queen Tuna,Bonita/Joker Fish/Blowfish-X/Tiger Blowfish/Chinook/Trout/Masou,Radish/Medicinal Radish,Bobomb Ice
63,Deliciousoup,"Old Schoolhouse, or Cafeteria (Chapter 2)",Green Soup,Spinacherb/Purplinacherb/Gash Twig,Clearwater/Goat Milk,Salt,Carrotato/Belgrade Potato/Burdock Straight/Burdock Curve/Pumpotatokin
64,Deliciousoup,"Old Schoolhouse, or Cafeteria (Chapter 2)",Red Soup,Lando/X-Lando/Sweet Lando/Night-in-grape,Tiger Blowfish/Blowfish-X/99% Chaos Choco,Salt,Green Soup/Goat Milk/Ceramic Plate
65,Deliciousoup,"Old Schoolhouse, or Cafeteria (Chapter 2)",Golden Soup,Gold Bullion,Golden Meat,Liquid Metal,Ceramic Plate
66,Bomb,Automatically obtain,Flame,Canone Rock,Polish Powder/Flour/Black Powder,Nicro Cloth/Pleather Cloth/Silky Cloth/Formell Fabric,
67,Bomb,Automatically obtain,Bomb Ice,Glacier Stone,Polish Powder/Flour/Black Powder,Clearwater/Black Liquid/Preservative,
68,Bomb,Automatically obtain,Lightning Rod,Thunder Stone,Polish Powder/Flour/Black Powder,Legien Steel/Cyprus Copper/Preuve Lead/Elemia Silver,
69,Super Bomb,Campus Grounds (Chapter 7),Tera Flame,Canone Crystal,Plosion,Flame Ring,
70,Super Bomb,Campus Grounds (Chapter 7),Bobomb Ice,Glacier Crystal,Plosion,Ice Ring,
71,Super Bomb,Campus Grounds (Chapter 7),Thunder Rod,Thunder Crystal,Plosion,Thunder Ring,
72,Exploding Uni,Complete Job no. 046,Uni Bomb,Uni/Big Uni,Plosion,Tuft/Knot/Shiny Moustache/Meringue Whip,
73,Uni the Great,"Complete Job no. 047, or Student Store (Chapter 8)",Big Uni Bomb,Big Uni,Plosion,Uni Bomb/Flame/Tera Flame,
74,Uni the Great,"Complete Job no. 047, or Student Store (Chapter 8)",Big Orange Bomb,Tangerine/Sunrise Orange/Mandarin Orange,Plosion,Pleather Cloth,
75,Uni the Great,"Complete Job no. 047, or Student Store (Chapter 8)",Big Lando Bomb,X-Lando/Sweet Lando,Plosion,Lando Bomb/Flame/Tera Flame,
76,The Mystic Uni,Dragon's Grave - Cave of Origin,Uni God,Uni/Big Uni,Soul of Darkness,Dragon Tongue,Pentagle
77,Fruit Bomb,"Resource Center Dungeon, or Cafeteria (Chapter 4)",Orange Bomb,Tangerine/Sunrise Orange/Mandarin Orange,Flour/Black Powder/Polish Powder/Plosion,Pleather Cloth,
78,Sweet Fruit Bomb,"Mana Ruins - Outskirts, or Cafeteria (Chapter 5)",Lando Bomb,Lando/X-Lando/Sweet Lando,Flour/Black Powder/Polish Powder/Plosion,Black Steel,
79,Twirly Thing,"Complete Job no. 058, or Student Store (Chapter 8)",Globe,Raw Komet Ore/Super Komet,Polish Powder/Shiny Powder,Zettel/Holy Crest Paper,Black Steel/Red Steel/Blue Steel/White Steel
80,A Small Universe,Dragon's Grave - Cave of Origin,Stellar Globe,Globe,Le Merou Cog/Eternal Turnkey/Gearbox/Organne la Firste,Canone Crystal/Glacier Crystal/Thunder Crystal,Pot Station
81,Pudding,Cafeteria (Chapter 6),Unipuni Pudding,Uni/Big Uni,Puppy Paw Flan,Puni Gummi,Ceramic Plate
82,Traditional Cake,Cafeteria (Chapter 5),Cheesecake,Goat Cheese,Vanilla Syrup/Goat Milk,Monster Cookie/Taiyaki,
83,Traditional Cake,Cafeteria (Chapter 5),Pumpotatokin Pie,Pumpotatokin,Vanilla Syrup/Goat Milk,Monster Cookie/Taiyaki,
84,Bite-sized Sorbet,Cafeteria (Chapter 7),Grape Sherbet,Bitter Grape/Night-in-grape,Long Ice Cream,Bomb Ice/Bobomb Ice,
85,Bite-sized Sorbet,Cafeteria (Chapter 7),Muscat Sorbet,Muscat,Long Ice Cream,Bomb Ice/Bobomb Ice,
86,Sweets Paradise,"Complete Job no. 055, or Cafeteria (Chapter 11)",Sweetsland,Unipuni Pudding,Jumbo Donut,Grape Sherbet/Muscat Sorbet,Cheesecake/Pumpotatokin Pie
87,Fruit Juice,Cafeteria (Chapter 3),120% Fruit,Bitter Grape/Night-in-grape/Muscat/Tangerine/Sunrise Orange/Mandarin Orange,Lando/X-Lando/Sweet Lando,Goat Milk,
